===============================================================================
EXTENSION NAME : linecount
EXTENSION VERSION : 0.1.7
-------------------------------------------------------------------------------
count time : 2024-05-16 16:46:33
count workspace : c:\Users\marti\Desktop\quizontwitch
total files : 149
total code lines : 13221
total comment lines : 233
total blank lines : 660

.editorconfig, code is 1, comment is 0, blank is 0.
client\src\store\reducers\themeReducer.ts, code is 22, comment is 1, blank is 4.
client\src\test\App.test.tsx, code is 0, comment is 19, blank is 4.
client\src\utils\history.ts, code is 2, comment is 0, blank is 0.
client\src\vite-env.d.ts, code is 0, comment is 1, blank is 0.
client\tailwind.config.js, code is 39, comment is 1, blank is 0.
client\tsconfig.json, code is 21, comment is 2, blank is 2.
client\tsconfig.node.json, code is 11, comment is 0, blank is 0.
client\vite.config.ts, code is 5, comment is 1, blank is 1.
package-lock.json, code is 1050, comment is 0, blank is 0.
package.json, code is 6, comment is 0, blank is 0.
README.md, code is 1, comment is 0, blank is 0.
server\.env, code is 4, comment is 1, blank is 1.
server\.prettierrc, code is 11, comment is 0, blank is 0.
server\index.ts, code is 6, comment is 19, blank is 4.
server\local.settings.json, code is 7, comment is 0, blank is 0.
server\logs\.5f80452cd706cb705eb9f873e8a0f34e8d0a9993-audit.json, code is 25, comment is 0, blank is 0.
server\logs\2024-05-10.log, it is a binary file.
server\logs\2024-05-11.log, it is a binary file.
server\logs\2024-05-16.log, it is a binary file.
server\package-lock.json, code is 2025, comment is 0, blank is 0.
server\package.json, code is 31, comment is 0, blank is 0.
server\server.log, it is a binary file.
server\src\apps\index.ts, code is 6, comment is 0, blank is 1.
server\src\apps\server.ts, code is 49, comment is 11, blank is 11.
server\src\apps\socket.ts, code is 22, comment is 1, blank is 5.
server\src\constants\StatusCodes.ts, code is 18, comment is 0, blank is 2.
server\src\database\connect.ts, code is 36, comment is 0, blank is 6.
server\src\database\index.ts, code is 2, comment is 0, blank is 0.
server\src\docs\index.ts, code is 0, comment is 0, blank is 0.
server\src\interfaces\leaderboard.ts, code is 0, comment is 0, blank is 0.
server\src\interfaces\quiz.ts, code is 0, comment is 0, blank is 0.
server\src\interfaces\user.ts, code is 8, comment is 0, blank is 0.
server\src\middleware\auth.ts, code is 0, comment is 0, blank is 0.
server\src\middleware\log.ts, code is 6, comment is 1, blank is 2.
server\src\middleware\rateLimit.ts, code is 0, comment is 0, blank is 0.
server\src\routes\auth\index.ts, code is 38, comment is 3, blank is 10.
server\src\routes\discovery\index.ts, code is 4, comment is 0, blank is 2.
server\src\routes\index.ts, code is 19, comment is 2, blank is 6.
server\src\routes\leaderboard\index.ts, code is 20, comment is 0, blank is 6.
server\src\routes\quiz\index.ts, code is 4, comment is 0, blank is 2.
server\src\routes\search\index.ts, code is 7, comment is 1, blank is 3.
server\src\schemas\playlists.ts, code is 31, comment is 0, blank is 2.
server\src\schemas\questions.ts, code is 21, comment is 0, blank is 2.
server\src\schemas\quiz.ts, code is 36, comment is 0, blank is 2.
server\src\schemas\results.ts, code is 20, comment is 0, blank is 1.
server\src\schemas\users.ts, code is 41, comment is 0, blank is 2.
server\src\services\leaderboard\getLeaderboard.ts, code is 19, comment is 0, blank is 3.
server\src\services\leaderboard\index.ts, code is 2, comment is 0, blank is 1.
server\src\services\users\create.ts, code is 13, comment is 0, blank is 2.
server\src\services\users\edit.ts, code is 13, comment is 0, blank is 3.
server\src\services\users\index.ts, code is 3, comment is 0, blank is 1.
server\src\utils\env.ts, code is 5, comment is 0, blank is 1.
server\src\utils\logger.ts, code is 122, comment is 9, blank is 11.
server\src\utils\process.ts, code is 26, comment is 7, blank is 9.
server\tsconfig.json, code is 14, comment is 0, blank is 0.
===============================================================================
